"search-number","evaluation","evals-requested-so-far","numberagents*","a*","b*","c*","vision*","numberobjects*","objectstrategy*","numberpackets*","numbergroupmax*","d*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","1","250","100","7.4","7.4","3.2","10","100","""byPackets""","5","1","3.4000000000000004","""-2008921204""","0","116","58","33.91902121229326","116"
"1","2","250","100","7.4","7.4","3.2","10","100","""byPackets""","5","1","3.4000000000000004","""-1754651232""","0","133","66.5","38.82653731663435","133"
"1","3","250","100","7.4","7.4","3.2","10","100","""byPackets""","5","1","3.4000000000000004","""-78491519""","0","114","57","33.34166562526033","114"
"1","4","250","100","7.4","7.4","3.2","10","100","""byPackets""","5","1","3.4000000000000004","""-570655366""","0","90","45","26.413380447543375","90"
"1","5","250","100","7.4","7.4","3.2","10","100","""byPackets""","5","1","3.4000000000000004","""-736026150""","0","137","68.5","39.98124560340761","137"
"1","6","250","100","0","9.600000000000001","4.2","10","100","""byPackets""","5","1","9.200000000000001","""-1917284752""","0","132","66","38.537860172389784","132"
"1","7","250","100","0","9.600000000000001","4.2","10","100","""byPackets""","5","1","9.200000000000001","""298848528""","0","137","68.5","39.98124560340761","137"
"1","8","250","100","0","9.600000000000001","4.2","10","100","""byPackets""","5","1","9.200000000000001","""-1396059956""","0","119","59.5","34.785054261852174","119"
"1","9","250","100","0","9.600000000000001","4.2","10","100","""byPackets""","5","1","9.200000000000001","""-661001038""","0","121","60.5","35.36240942017385","121"
"1","10","250","100","0","9.600000000000001","4.2","10","100","""byPackets""","5","1","9.200000000000001","""-2057532780""","0","123","61.5","35.939764421413045","123"
"1","11","250","100","4.6000000000000005","7.800000000000001","9.8","10","100","""byPackets""","5","1","8.6","""601989972""","0","148","74","43.15669125408017","148"
"1","12","250","100","4.6000000000000005","7.800000000000001","9.8","10","100","""byPackets""","5","1","8.6","""985728710""","0","142","71","41.42463035441596","142"
"1","13","250","100","4.6000000000000005","7.800000000000001","9.8","10","100","""byPackets""","5","1","8.6","""-1770849019""","0","128","64","37.383151285037485","128"
"1","14","250","100","4.6000000000000005","7.800000000000001","9.8","10","100","""byPackets""","5","1","8.6","""-1863017880""","0","122","61","35.651086939951774","122"
"1","15","250","100","4.6000000000000005","7.800000000000001","9.8","10","100","""byPackets""","5","1","8.6","""212756529""","0","113","56.5","33.05298776207682","113"
"1","16","250","100","0.8","9.4","9.8","10","100","""byPackets""","5","1","6.2","""1412201488""","0","138","69","40.26992260567019","138"
"1","17","250","100","0.8","9.4","9.8","10","100","""byPackets""","5","1","6.2","""619466170""","0","126","63","36.8057966449127","126"
"1","18","250","100","0.8","9.4","9.8","10","100","""byPackets""","5","1","6.2","""-992123905""","0","104","52","30.454884665682123","104"
"1","19","250","100","0.8","9.4","9.8","10","100","""byPackets""","5","1","6.2","""-1560825589""","0","112","56","32.76430985081175","112"
"1","20","250","100","0.8","9.4","9.8","10","100","""byPackets""","5","1","6.2","""-1267218828""","0","145","72.5","42.290660907581","145"
"1","21","250","100","6.800000000000001","4","7","10","100","""byPackets""","5","1","6.4","""-1835243235""","0","114","57","33.34166562526033","114"
"1","22","250","100","6.800000000000001","4","7","10","100","""byPackets""","5","1","6.4","""1538749145""","0","109","54.5","31.898275815473163","109"
"1","23","250","100","6.800000000000001","4","7","10","100","""byPackets""","5","1","6.4","""-453436666""","0","140","70","40.847276531000205","140"
"1","24","250","100","6.800000000000001","4","7","10","100","""byPackets""","5","1","6.4","""-1848986233""","0","144","72","42.00198408012015","144"
"1","25","250","100","6.800000000000001","4","7","10","100","""byPackets""","5","1","6.4","""504558432""","0","151","75.5","44.02272140611028","151"
"1","26","250","100","7.4","8","7","10","100","""byPackets""","5","1","9.600000000000001","""222217495""","0","108","54","31.609597698589372","108"
"1","27","250","100","7.4","8","7","10","100","""byPackets""","5","1","9.600000000000001","""970391822""","0","114","57","33.34166562526033","114"
"1","28","250","100","7.4","8","7","10","100","""byPackets""","5","1","9.600000000000001","""846622787""","0","108","54","31.609597698589372","108"
"1","29","250","100","7.4","8","7","10","100","""byPackets""","5","1","9.600000000000001","""952735250""","0","125","62.5","36.51711927302043","125"
"1","30","250","100","7.4","8","7","10","100","""byPackets""","5","1","9.600000000000001","""1130253921""","0","140","70","40.847276531000205","140"
"1","31","250","100","9.4","5.4","1.6","10","100","""byPackets""","5","1","6","""1621359682""","0","133","66.5","38.82653731663435","133"
"1","32","250","100","9.4","5.4","1.6","10","100","""byPackets""","5","1","6","""-327389752""","0","164","82","47.775516742365014","164"
"1","33","250","100","9.4","5.4","1.6","10","100","""byPackets""","5","1","6","""1161277373""","0","118","59","34.49637662132068","118"
"1","34","250","100","9.4","5.4","1.6","10","100","""byPackets""","5","1","6","""1386917748""","0","161","80.5","46.90948731333567","161"
"1","35","250","100","9.4","5.4","1.6","10","100","""byPackets""","5","1","6","""-910316554""","0","113","56.5","33.05298776207682","113"
"1","36","250","100","6.4","2.8000000000000003","7.800000000000001","10","100","""byPackets""","5","1","7.4","""-170791201""","0","103","51.5","30.166206257996713","103"
"1","37","250","100","6.4","2.8000000000000003","7.800000000000001","10","100","""byPackets""","5","1","7.4","""-130960933""","0","108","54","31.609597698589372","108"
"1","38","250","100","6.4","2.8000000000000003","7.800000000000001","10","100","""byPackets""","5","1","7.4","""1475240310""","0","107","53.5","31.32091952673165","107"
"1","39","250","100","6.4","2.8000000000000003","7.800000000000001","10","100","""byPackets""","5","1","7.4","""1107359019""","0","138","69","40.26992260567019","138"
"1","40","250","100","6.4","2.8000000000000003","7.800000000000001","10","100","""byPackets""","5","1","7.4","""1831304996""","0","130","65","37.960505792204614","130"
"1","41","250","100","2.4000000000000004","7.2","1.8","10","100","""byPackets""","5","1","6.2","""-1969942959""","0","105","52.5","30.743563011900015","105"
"1","42","250","100","2.4000000000000004","7.2","1.8","10","100","""byPackets""","5","1","6.2","""-834378339""","0","152","76","44.31139808220905","152"
"1","43","250","100","2.4000000000000004","7.2","1.8","10","100","""byPackets""","5","1","6.2","""-1156207965""","0","127","63.5","37.094473981982816","127"
"1","44","250","100","2.4000000000000004","7.2","1.8","10","100","""byPackets""","5","1","6.2","""-1117912357""","0","156","78","45.466104590856105","156"
"1","45","250","100","2.4000000000000004","7.2","1.8","10","100","""byPackets""","5","1","6.2","""2084421363""","0","113","56.5","33.05298776207682","113"
"1","46","250","100","4","5.800000000000001","4.800000000000001","10","100","""byPackets""","5","1","3.6","""-737010447""","0","103","51.5","30.166206257996713","103"
"1","47","250","100","4","5.800000000000001","4.800000000000001","10","100","""byPackets""","5","1","3.6","""1670789375""","0","105","52.5","30.743563011900015","105"
"1","48","250","100","4","5.800000000000001","4.800000000000001","10","100","""byPackets""","5","1","3.6","""1054164361""","0","128","64","37.383151285037485","128"
